epoch,train_loss,val_loss,train_mae,val_mae,train_r2,val_r2
1,280531103.15789473,304173266.28571427,13730.325503700658,14529.83998325893,tensor(-2.1237),tensor(-2.3627)
2,279667352.42105263,303492125.71428573,13702.723684210527,14507.32631138393,tensor(-2.0593),tensor(-2.3549)
3,278699861.05263156,303325355.4285714,13680.857627467105,14498.95493861607,tensor(-2.0833),tensor(-2.3531)
4,279054575.15789473,303929924.5714286,13700.310495476973,14523.85365513393,tensor(-2.0810),tensor(-2.3595)
5,279469109.05263156,303541572.5714286,13707.027292351973,14507.3935546875,tensor(-2.0623),tensor(-2.3553)
6,278594739.3684211,303144299.4285714,13688.79728618421,14494.959542410714,tensor(-2.1224),tensor(-2.3511)
7,278238789.8947368,303423481.14285713,13667.652960526315,14501.755859375,tensor(-2.0650),tensor(-2.3545)
8,278128696.42105263,302851986.28571427,13669.395764802632,14485.437918526786,tensor(-2.0854),tensor(-2.3480)
9,279379154.5263158,302827266.28571427,13709.863641036185,14483.760323660714,tensor(-2.1148),tensor(-2.3476)
10,278253570.5263158,302758032.0,13670.569798519737,14483.189732142857,tensor(-2.1137),tensor(-2.3466)
11,276922520.42105263,302743193.14285713,13630.308799342105,14482.527622767857,tensor(-2.0622),tensor(-2.3462)
12,278118911.15789473,302294445.71428573,13664.549187911185,14471.894810267857,tensor(-2.0579),tensor(-2.3412)
13,275937530.1052632,302462237.71428573,13601.652549342105,14476.4345703125,tensor(-2.1291),tensor(-2.3431)
14,276996448.0,302105922.28571427,13641.214997944078,14465.64634486607,tensor(-2.1204),tensor(-2.3391)
15,278116702.31578946,302507517.71428573,13658.304636101973,14478.63462611607,tensor(-2.0823),tensor(-2.3438)
16,277094746.1052632,302258624.0,13651.876901726973,14469.443777901786,tensor(-2.0274),tensor(-2.3410)
17,275899842.5263158,301892500.5714286,13599.50627055921,14457.912806919643,tensor(-2.1005),tensor(-2.3365)
18,276379262.31578946,302339421.71428573,13612.820466694078,14472.35044642857,tensor(-2.0675),tensor(-2.3415)
19,276932660.2105263,302147968.0,13633.144993832237,14470.543526785714,tensor(-2.0952),tensor(-2.3392)
20,275792606.31578946,302247190.85714287,13605.237150493422,14471.373465401786,tensor(-2.0789),tensor(-2.3404)
21,275601898.1052632,301251218.28571427,13602.898488898027,14438.587472098214,tensor(-2.0595),tensor(-2.3297)
22,275528282.94736844,300925408.0,13597.376130756578,14437.812220982143,tensor(-2.0575),tensor(-2.3255)
23,277608321.68421054,301563499.4285714,13637.162160773027,14456.543666294643,tensor(-2.0963),tensor(-2.3328)
24,275683574.7368421,301583131.4285714,13591.550986842105,14458.734654017857,tensor(-2.0468),tensor(-2.3324)
25,275276166.7368421,301535056.0,13607.948190789473,14456.981863839286,tensor(-2.0965),tensor(-2.3317)
26,274726330.94736844,301258987.4285714,13577.812037417763,14446.66127232143,tensor(-2.0111),tensor(-2.3288)
27,274895320.42105263,301033558.85714287,13569.945004111842,14437.565011160714,tensor(-2.0526),tensor(-2.3264)
28,275272670.31578946,300503547.4285714,13586.05998149671,14416.48451450893,tensor(-2.0552),tensor(-2.3205)
29,275283800.42105263,300464811.4285714,13599.606702302632,14420.645926339286,tensor(-2.0859),tensor(-2.3204)
30,274835473.68421054,300295005.71428573,13582.984477796053,14415.000558035714,tensor(-2.0673),tensor(-2.3182)
31,274623610.1052632,300357593.14285713,13578.140111019737,14413.611886160714,tensor(-2.0381),tensor(-2.3188)
32,276427031.57894737,300222329.14285713,13623.757761101973,14407.34584263393,tensor(-2.0885),tensor(-2.3172)
33,274876426.1052632,299603298.28571427,13575.679738898027,14386.028599330357,tensor(-1.9989),tensor(-2.3108)
34,273127344.0,299469044.5714286,13538.623201069078,14385.3544921875,tensor(-2.0415),tensor(-2.3095)
35,273108882.5263158,299460521.14285713,13536.05329975329,14392.49135044643,tensor(-2.1009),tensor(-2.3085)
36,273454534.7368421,299761350.85714287,13529.954255756578,14404.65053013393,tensor(-2.0447),tensor(-2.3120)
37,275041941.8947368,300321190.85714287,13595.7236328125,14422.433872767857,tensor(-2.0703),tensor(-2.3186)
38,273298752.84210527,299217024.0,13538.594109786185,14382.565987723214,tensor(-1.9830),tensor(-2.3059)
39,272004885.8947368,299866352.0,13515.75642475329,14405.030552455357,tensor(-1.9856),tensor(-2.3130)
40,271788731.7894737,299170365.71428573,13506.164165296053,14376.111049107143,tensor(-2.0097),tensor(-2.3059)
41,273683743.15789473,299324484.5714286,13555.723478618422,14386.949497767857,tensor(-2.0564),tensor(-2.3075)
42,272054741.05263156,299081782.85714287,13501.631476151315,14384.844308035714,tensor(-2.0667),tensor(-2.3045)
43,273660619.7894737,298772699.4285714,13524.504420230263,14367.939871651786,tensor(-2.0490),tensor(-2.3011)
44,270361449.2631579,298775316.5714286,13455.0341796875,14374.101981026786,tensor(-2.0322),tensor(-2.3008)
45,272315399.57894737,299083552.0,13507.558285361842,14383.841238839286,tensor(-2.0510),tensor(-2.3043)
46,272768202.1052632,298006281.14285713,13514.133429276315,14349.599609375,tensor(-2.0566),tensor(-2.2923)
47,270667066.94736844,298202571.4285714,13457.847502055922,14358.074916294643,tensor(-2.0264),tensor(-2.2948)
48,271137653.05263156,297647538.28571427,13483.334858141447,14342.02455357143,tensor(-2.0728),tensor(-2.2884)
49,270198052.2105263,298430333.71428573,13460.801963404605,14366.464564732143,tensor(-2.0048),tensor(-2.2970)
50,270903391.15789473,297299741.71428573,13481.083264802632,14328.893275669643,tensor(-2.0029),tensor(-2.2842)
