epoch,train_loss,val_loss,train_mae,val_mae,train_r2,val_r2
1,290245216.84210527,312261049.14285713,14005.727333470395,14785.65234375,tensor(-2.2620),tensor(-2.4549)
2,288241525.05263156,312260452.5714286,13940.801243832237,14785.6328125,tensor(-2.1719),tensor(-2.4549)
3,290227284.2105263,312259915.4285714,13979.771330180922,14785.61439732143,tensor(-2.2411),tensor(-2.4549)
4,289415250.5263158,312259305.14285713,13967.214329769737,14785.5947265625,tensor(-2.1892),tensor(-2.4549)
5,289811384.42105263,312258747.4285714,13981.316200657895,14785.577706473214,tensor(-2.2515),tensor(-2.4548)
6,288803152.84210527,312258178.28571427,13944.232370476973,14785.55775669643,tensor(-2.2139),tensor(-2.4548)
7,289262458.94736844,312257611.4285714,13960.621196546053,14785.539760044643,tensor(-2.2556),tensor(-2.4548)
8,288257965.4736842,312257035.4285714,13944.388003700658,14785.520926339286,tensor(-2.1811),tensor(-2.4548)
9,288823952.84210527,312256489.14285713,13961.851459703947,14785.50279017857,tensor(-2.2482),tensor(-2.4548)
10,288947731.3684211,312255922.28571427,13955.688425164473,14785.483956473214,tensor(-2.2304),tensor(-2.4548)
11,287783864.42105263,312255328.0,13928.099866365132,14785.465122767857,tensor(-2.2069),tensor(-2.4548)
12,289901226.94736844,312254770.28571427,13979.471165707237,14785.446707589286,tensor(-2.2400),tensor(-2.4548)
13,288556159.15789473,312254180.5714286,13949.987253289473,14785.427176339286,tensor(-2.2657),tensor(-2.4548)
14,290458387.7894737,312253620.5714286,13982.48673930921,14785.408900669643,tensor(-2.2711),tensor(-2.4548)
15,289861632.0,312253074.28571427,13994.787828947368,14785.390625,tensor(-2.1957),tensor(-2.4548)
16,290867276.6315789,312252500.5714286,13998.942845394737,14785.37193080357,tensor(-2.2331),tensor(-2.4548)
17,289287426.5263158,312251933.71428573,13967.396124588815,14785.352818080357,tensor(-2.2595),tensor(-2.4548)
18,287435605.8947368,312251357.71428573,13907.870425575658,14785.334681919643,tensor(-2.2571),tensor(-2.4548)
19,288385001.2631579,312250802.28571427,13953.087736430922,14785.31640625,tensor(-2.2604),tensor(-2.4548)
20,290535959.57894737,312250237.71428573,14006.248560855263,14785.29771205357,tensor(-2.2067),tensor(-2.4547)
21,288078392.42105263,312249650.28571427,13949.445826480263,14785.278599330357,tensor(-2.3154),tensor(-2.4547)
22,288284138.1052632,312249110.85714287,13949.38728412829,14785.26060267857,tensor(-2.2238),tensor(-2.4547)
23,288156905.2631579,312248544.0,13924.9052734375,14785.242606026786,tensor(-2.1960),tensor(-2.4547)
24,290648837.05263156,312247984.0,14002.419099506578,14785.22349330357,tensor(-2.2280),tensor(-2.4547)
25,287569987.3684211,312247398.85714287,13911.7587890625,14785.204520089286,tensor(-2.2691),tensor(-2.4547)
26,288714256.0,312246845.71428573,13959.178402549342,14785.185825892857,tensor(-2.2134),tensor(-2.4547)
27,287877949.4736842,312246276.5714286,13936.449681332237,14785.167271205357,tensor(-2.1845),tensor(-2.4547)
28,290822621.4736842,312245716.5714286,14009.196340460527,14785.149135044643,tensor(-2.2402),tensor(-2.4547)
29,288363704.42105263,312245149.71428573,13949.441714638158,14785.130161830357,tensor(-2.3396),tensor(-2.4547)
30,289751419.7894737,312244580.5714286,13978.01326069079,14785.111328125,tensor(-2.2465),tensor(-2.4547)
31,287286041.2631579,312244002.28571427,13912.51953125,14785.093191964286,tensor(-2.2353),tensor(-2.4547)
32,289216969.2631579,312243451.4285714,13968.611687911185,14785.074916294643,tensor(-2.2673),tensor(-2.4547)
33,290027152.0,312242886.85714287,13982.055150082237,14785.056361607143,tensor(-2.1852),tensor(-2.4547)
34,288285350.7368421,312242310.85714287,13944.872430098685,14785.037667410714,tensor(-2.2034),tensor(-2.4547)
35,289238830.31578946,312241760.0,13965.789884868422,14785.019112723214,tensor(-2.1957),tensor(-2.4547)
36,288425600.0,312241188.5714286,13955.137181332237,14785.000279017857,tensor(-2.2490),tensor(-2.4546)
37,291615658.94736844,312240619.4285714,14032.63728412829,14784.981724330357,tensor(-2.2686),tensor(-2.4546)
38,288064607.15789473,312240027.4285714,13946.943976151315,14784.962332589286,tensor(-2.2048),tensor(-2.4546)
39,290515705.2631579,312239513.14285713,14004.222142269737,14784.945033482143,tensor(-2.2450),tensor(-2.4546)
40,289984361.2631579,312238930.28571427,13981.444387335527,14784.92578125,tensor(-2.2387),tensor(-2.4546)
41,288126406.7368421,312238354.28571427,13931.964586759868,14784.906947544643,tensor(-2.1418),tensor(-2.4546)
42,288750472.42105263,312237780.5714286,13958.844058388158,14784.888253348214,tensor(-2.2074),tensor(-2.4546)
43,289283796.2105263,312237236.5714286,13963.177271792763,14784.870535714286,tensor(-2.2242),tensor(-2.4546)
44,287751697.68421054,312236678.85714287,13927.039884868422,14784.851841517857,tensor(-2.2033),tensor(-2.4546)
45,288871116.6315789,312236098.28571427,13956.576428865132,14784.833286830357,tensor(-2.1524),tensor(-2.4546)
46,288804891.7894737,312235531.4285714,13940.015265213815,14784.814453125,tensor(-2.3154),tensor(-2.4546)
47,288553198.31578946,312234978.28571427,13953.285978618422,14784.796177455357,tensor(-2.2119),tensor(-2.4546)
48,287814125.4736842,312234384.0,13929.415141858553,14784.777064732143,tensor(-2.1892),tensor(-2.4546)
49,288181936.84210527,312233821.71428573,13937.65568462171,14784.75795200893,tensor(-2.2510),tensor(-2.4546)
50,288334858.94736844,312233275.4285714,13960.084909539473,14784.740234375,tensor(-2.2476),tensor(-2.4546)
