epoch,train_loss,val_loss,train_mae,val_mae,train_r2,val_r2
1,278773882.94736844,303115849.14285713,13652.9619140625,14489.3408203125,tensor(-2.1293),tensor(-2.3514)
2,280798485.8947368,303144477.71428573,13718.131990131578,14490.2626953125,tensor(-2.1476),tensor(-2.3516)
3,280688192.0,303168674.28571427,13719.343904194078,14491.01646205357,tensor(-2.1589),tensor(-2.3518)
4,278654362.1052632,302897954.28571427,13644.557154605263,14482.51869419643,tensor(-2.1339),tensor(-2.3488)
5,280148337.68421054,302537785.14285713,13702.140830592105,14471.035574776786,tensor(-2.1823),tensor(-2.3447)
6,278921218.5263158,302540589.71428573,13656.9697265625,14472.216517857143,tensor(-2.1698),tensor(-2.3446)
7,279393488.0,302648205.71428573,13663.566097861842,14477.0732421875,tensor(-2.0994),tensor(-2.3458)
8,278741542.7368421,302109081.14285713,13658.640265213815,14459.830496651786,tensor(-2.1345),tensor(-2.3398)
9,278919788.6315789,302826884.5714286,13656.212273848685,14483.536690848214,tensor(-2.0558),tensor(-2.3479)
10,278896467.3684211,302173920.0,13667.702456825658,14462.03041294643,tensor(-2.1145),tensor(-2.3406)
11,278634160.84210527,302488338.28571427,13656.257144325658,14471.85044642857,tensor(-2.1640),tensor(-2.3439)
12,278196719.15789473,302407851.4285714,13628.091848273027,14470.202706473214,tensor(-2.0209),tensor(-2.3432)
13,278621174.7368421,302192150.85714287,13642.838096217105,14463.520786830357,tensor(-2.0505),tensor(-2.3408)
14,278534611.3684211,301525083.4285714,13648.84123149671,14440.46107700893,tensor(-2.1227),tensor(-2.3333)
15,277382495.15789473,301433353.14285713,13601.907843338815,14437.169921875,tensor(-2.1022),tensor(-2.3321)
16,278794145.68421054,301102358.85714287,13629.079718338815,14427.427176339286,tensor(-2.1488),tensor(-2.3284)
17,278270093.4736842,301308109.71428573,13642.913445723685,14434.63657924107,tensor(-2.1349),tensor(-2.3305)
18,278778389.8947368,301177874.28571427,13651.523077713815,14430.80482700893,tensor(-2.0292),tensor(-2.3290)
19,277364098.5263158,301261200.0,13613.566714638158,14432.513113839286,tensor(-2.0486),tensor(-2.3300)
20,277726168.42105263,300691456.0,13605.06779399671,14415.151088169643,tensor(-2.0426),tensor(-2.3240)
21,276365261.4736842,300340893.71428573,13555.065686677632,14405.79799107143,tensor(-2.0660),tensor(-2.3201)
22,277688565.05263156,300440489.14285713,13610.846319901315,14410.340401785714,tensor(-2.1051),tensor(-2.3213)
23,275963266.5263158,299885997.71428573,13563.027138157895,14395.104771205357,tensor(-2.0761),tensor(-2.3151)
24,276334138.1052632,300050306.28571427,13579.93708881579,14398.985072544643,tensor(-2.0566),tensor(-2.3169)
25,277100144.0,299933657.14285713,13591.848992598685,14395.98911830357,tensor(-2.1044),tensor(-2.3155)
26,276690229.05263156,299903136.0,13586.953638980263,14395.78431919643,tensor(-2.0854),tensor(-2.3150)
27,277657895.57894737,299678875.4285714,13602.201557360197,14388.280831473214,tensor(-2.1628),tensor(-2.3124)
28,275513456.84210527,299294624.0,13556.980828536185,14376.981863839286,tensor(-2.0732),tensor(-2.3082)
29,277442212.2105263,298848041.14285713,13595.705386513158,14363.045619419643,tensor(-2.0819),tensor(-2.3030)
30,275444865.68421054,299336928.0,13547.27107319079,14376.780691964286,tensor(-2.0508),tensor(-2.3086)
31,274809962.94736844,298498313.14285713,13534.669870476973,14351.32114955357,tensor(-2.0959),tensor(-2.2991)
32,275352357.05263156,298660290.28571427,13537.60310444079,14352.993443080357,tensor(-2.0293),tensor(-2.3008)
33,274085425.68421054,298570294.85714287,13519.635382401315,14351.6767578125,tensor(-2.0778),tensor(-2.2995)
34,273859169.68421054,298222123.4285714,13509.703176398027,14340.048409598214,tensor(-2.0868),tensor(-2.2957)
35,276163949.4736842,298957997.71428573,13572.477436266447,14362.589146205357,tensor(-2.0553),tensor(-2.3038)
36,276030139.7894737,298837117.71428573,13570.00920024671,14357.639229910714,tensor(-2.0822),tensor(-2.3024)
37,275449823.15789473,298640141.71428573,13556.153268914473,14351.8837890625,tensor(-2.0831),tensor(-2.3002)
38,273991621.05263156,298012013.71428573,13508.738384046053,14332.535714285714,tensor(-2.0780),tensor(-2.2934)
39,273985014.7368421,297476333.71428573,13506.290758634868,14317.127232142857,tensor(-2.1096),tensor(-2.2872)
40,275043655.57894737,297719828.5714286,13528.117393092105,14324.3076171875,tensor(-2.0946),tensor(-2.2899)
41,274169486.31578946,297256610.28571427,13508.65470805921,14310.013950892857,tensor(-1.9740),tensor(-2.2848)
42,273980162.5263158,297186304.0,13512.278577302632,14308.874581473214,tensor(-2.0910),tensor(-2.2840)
43,272058632.0,296913460.5714286,13437.904348273027,14302.328543526786,tensor(-2.0668),tensor(-2.2809)
44,275772338.5263158,296737606.85714287,13541.515625,14293.694614955357,tensor(-2.0632),tensor(-2.2789)
45,274055162.94736844,297024038.85714287,13485.412006578947,14301.44838169643,tensor(-2.0100),tensor(-2.2819)
46,274942250.94736844,297022589.71428573,13543.242033305922,14302.6025390625,tensor(-2.0269),tensor(-2.2821)
47,272881834.1052632,296462379.4285714,13461.133480674342,14285.270228794643,tensor(-2.0417),tensor(-2.2756)
48,271997397.8947368,296230418.28571427,13452.727076480263,14273.39048549107,tensor(-2.0409),tensor(-2.2734)
49,273066995.3684211,296201017.14285713,13492.681794819078,14271.99693080357,tensor(-2.0389),tensor(-2.2730)
50,272069404.6315789,296187666.28571427,13449.647306743422,14273.915736607143,tensor(-2.0259),tensor(-2.2725)
